1, 136, 5.5, 304, 5.5, 3410, 5.220534, 167, 5.035369, 1341, 5.0
2, 2773, 5.305657, 3637, 5.085073, 841, 5.015056, 3410, 4.9267855, 649, 4.8979216
3, 746, 5.5, 2773, 5.024938, 167, 5.016289, 2830, 4.8245597, 841, 4.8090796
4, 106, 7.0, 385, 6.0, 136, 5.8284273, 2773, 5.71967, 2593, 5.7071066
5, 681, 5.5, 3862, 4.3363323, 136, 4.3311844, 106, 4.323303, 649, 4.3114357
6, 2464, 5.2415724, 2773, 5.2302685, 77, 5.0, 3739, 4.9740667, 1067, 4.904479
7, 3410, 6.6898494, 649, 5.952539, 2773, 5.8527274, 1111, 5.8099294, 136, 5.7928934
8, 136, 5.6663027, 2635, 5.5, 2652, 5.5, 2773, 5.267383, 3371, 5.245717
9, 136, 5.029787, 3371, 5.0250044, 2523, 5.0, 2773, 4.93285, 167, 4.826103
10, 2773, 5.2712493, 3410, 5.2221847, 1111, 5.1208477, 3739, 5.1015425, 1067, 5.0684032
11, 2981, 5.0, 385, 4.939974, 649, 4.662535, 124, 4.64956, 167, 4.5995173
12, 2464, 5.5, 649, 5.3374276, 1067, 5.165695, 841, 5.0, 2740, 5.0
13, 841, 5.6715727, 2773, 5.61031, 746, 5.445903, 385, 5.388889, 3410, 5.3625765
14, 746, 7.0, 3339, 5.700803, 3415, 5.0449295, 3637, 4.8165827, 3737, 4.7125688
15, 2773, 4.740001, 2981, 4.7071066, 841, 4.665361, 3739, 4.5943727, 1111, 4.561048
16, 1533, 6.0, 136, 5.7819347, 3677, 5.698661, 3410, 5.591326, 298, 5.5
17, 136, 5.580106, 1780, 5.5, 681, 5.5, 2773, 5.360845, 1111, 5.298171
18, 1780, 6.5, 136, 5.507721, 1067, 5.4074135, 3410, 5.3983455, 2904, 5.2561784
19, 385, 5.1039267, 3410, 5.035165, 1111, 4.8788333, 1002, 4.779867, 668, 4.7786827
20, 2773, 6.0669656, 3637, 6.0, 136, 5.725499, 3410, 5.6923337, 363, 5.5128856
21, 116, 6.9497476, 3223, 6.5, 1076, 6.0, 3816, 6.0, 1533, 5.5
